EntrezID	GeneSymbol	RNAseq-EryP-Rep1	RNAseq-EryP-Rep2	RNAseq-EryP-Rep3	RNAseq-EryD-Rep1	RNAseq-EryD-Rep2	RNAseq-EryD-Rep3
76643	1700121L16Rik	0.088927651	0	0	0	0	0.103327367
76645	Pkd1l2	0.466210507	0.484644238	0.450868746	0.17479807	0.501990011	0.86134423
76646	Wdr38	4.631026916	4.529278929	4.528129274	4.389910355	4.4069284	4.425761715
76649	1700119H24Rik	0	0.092938249	0	0	0.083318543	0
76650	Srxn1	5.095435538	4.495631338	5.176231521	6.907096308	6.723768545	6.88826423
76651	1700122O11Rik	0.172690617	0.092938249	0	0	0.083318543	0
76652	Actrt3	0.172690617	0.262577947	0.242976257	0	0.236776323	0.375170495
76654	Upp2	0.172690617	0.180250055	0.315653629	0	0.375468954	0.45548218
76657	1700125G22Rik	0.251856015	0.092938249	0.166442556	0.330687802	0.236776323	0
76658	1700123K08Rik	0	0	0.242976257	0.090044751	0	0
76668	Mdh1b	0.088927651	0	0.166442556	0.090044751	0	0
76669	1700128F08Rik	0.088927651	0.262577947	0.085620241	0.254847487	0	0
76670	Ttc18	0.172690617	0.484644238	0.315653629	0.254847487	0.083318543	0.531557862
76676	5330411J11Rik	0.172690617	0	0.166442556	0	0	0.103327367
76681	Trim12a	0.765002278	0.899192404	0.938969035	1.453589416	1.566534476	1.847470703
76684	1810007I06Rik	0.172690617	0.092938249	0	0	0	0.375170495
76686	Clip3	0.251856015	0.180250055	0.166442556	0	0.162086862	0
76687	Spcs3	5.599727303	5.600199939	5.814397612	5.828773062	5.941644433	5.562444905
76688	Arfrp1	4.593525751	4.570264018	4.627829367	4.517092206	4.217064801	4.594873363
76701	Ctrc	0.088927651	0	0	0	0.236776323	0.103327367
76703	Cpb1	0	0	0	0.090044751	0	0.103327367
76705	Ppp1r2-ps7	0	0.092938249	0	0	0	0.199746348
76707	Clasp1	5.286158221	5.328841356	5.304533842	6.021310411	6.034856732	5.821140208
76709	Arpc2	6.333869254	6.111388031	6.461561041	5.999691787	6.102576121	6.088441197
76710	2210406O10Rik	0.326902392	0.262577947	0.242976257	0.090044751	0.236776323	0.290123112
76713	1700039E15Rik	0.088927651	0.092938249	0.085620241	0	0.307788639	0.103327367
76718	Catsperg2	0.088927651	0.414352757	0.085620241	0.090044751	0.162086862	0.290123112
76719	Kansl1	5.620385114	5.518788385	5.598354082	5.679043573	5.663972659	5.414583538
